alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1737065549.211,transparent,3752.889474233,1737065333.8896,"AS141636 PT Mega Data Perkasa",IDNIC-MDP-AS-ID,Pati,Asia,AS,Indonesia,ID,,false,"PT Mega Data Perkasa",-8.2092,127.8515,false,"PT Mega Data Perkasa",false,Maluku,success,Asia/Jayapura,59154,1737065339,1737065549.211,8080,http,http://103.162.16.113:8080,false,7802.4337291718,3,1,75,103.162.16.113
true,1737065548.9438,elite,3762.8073679788,1710595962.2634,"AS25490 PJSC Rostelecom",STC-AS,Krasnodar,Europe,EU,Russia,RU,,false,"Southen Telecommunication Maintainer",45.036,38.9746,false,"OJSC Rostelecom Macroregional Branch South",true,"Krasnodar Krai",success,Europe/Moscow,350000,1737034524,1737065548.9438,3629,socks4,socks4://85.172.5.74:3629,true,1313.140630722,7804,216496,3.4792688363798,85.172.5.74
true,1737065548.9117,elite,2504.1645490206,1737063785.7924,"AS7552 Viettel Group",VIETEL-AS-AP,"Ho Chi Minh City",Asia,AS,Vietnam,VN,,false,"Viettel Group",10.822,106.6257,false,VIETTEL,false,"Ho Chi Minh",success,Asia/Ho_Chi_Minh,700000,1737063788,1737065548.9117,10021,http,http://115.77.143.126:10021,false,1781.1827659607,13,12,52,115.77.143.126
true,1737065183.4316,elite,1696.9078540802,1737065183.4316,"AS7552 Viettel Group",VIETEL-AS-AP,"Ho Chi Minh City",Asia,AS,Vietnam,VN,,false,"Viettel Group",10.822,106.6257,false,VIETTEL,false,"Ho Chi Minh",success,Asia/Ho_Chi_Minh,700000,1737065185,1737065548.8812,10032,http,http://115.77.143.126:10032,false,4170.0618267059,5,0,100,115.77.143.126
true,1737065548.3314,elite,51.66319541468,1720453145.6497,"AS9009 M247 Europe SRL",M247,Zurich,Europe,EU,Switzerland,CH,,true,"M247 Europe SRL",47.3667,8.55,false,"M247 LTD",true,Zurich,success,Europe/Zurich,8064,1736783940,1737065548.3314,3128,http,http://84.39.112.144:3128,false,56.703567504883,111872,152592,42.301409643657,84.39.112.144
true,1737065381.3303,elite,94.792869576018,1726322697.6363,"AS16276 OVH SAS",OVH,Roubaix,Europe,EU,France,FR,,true,"OVH SAS",50.6927,3.17785,false,"serverfrus Amin",true,Hauts-de-France,success,Europe/Paris,59100,1736605023,1737065548.18,80,http,http://152.228.154.20:80,false,79.135894775391,72363,84991,45.987391486711,152.228.154.20
true,1737065548.0639,elite,2012.3422943835,1725314649.2698,"AS21409 Ikoula Net SAS",IKOULA,Nanterre,Europe,EU,France,FR,,true,"Ikoula Ripe",48.8909,2.2093,false,,true,Île-de-France,success,Europe/Paris,92000,1736907157,1737065548.0639,80,http,http://178.170.9.226:80,false,381.82687759399,9744,23875,28.983610458372,178.170.9.226
true,1737065547.9267,elite,4755.3237506322,1722145747.0688,"AS45102 Alibaba (US) Technology Co., Ltd.",ALIBABA-CN-NET,"Hong Kong",Asia,AS,"Hong Kong",HK,,true,"Alibaba (US) Technology Co., Ltd.",22.3193,114.169,false,"Alibaba.com LLC",true,Kowloon,success,Asia/Hong_Kong,999077,1736669086,1737065547.9267,8081,http,http://47.238.130.212:8081,false,2590.2962684631,1808,182222,0.98244851382927,47.238.130.212
true,1737065547.7662,elite,3205.9740968256,1732004954.5554,"AS9808 China Mobile Communications Group Co., Ltd.",CHINAMOBILE-CN,Guangzhou,Asia,AS,China,CN,,false,"China Mobile",23.1317,113.266,true,"China Mobile Communications Corporation",true,Guangdong,success,Asia/Shanghai,510000,1736845662,1737065547.7662,80,http,http://36.159.89.121:80,false,9401.3333320618,20019,51273,28.08028951355,36.159.89.121
true,1737065547.6728,elite,2673.8113666067,1734977908.9378,"AS4134 CHINANET-BACKBONE",CHINANET-BACKBONE,Nanjing,Asia,AS,China,CN,,false,Chinanet,32.0607,118.763,false,"Chinanet JS",true,Jiangsu,success,Asia/Shanghai,210000,1736795262,1737065547.6728,8089,http,http://180.112.180.161:8089,false,3898.0443477631,490,21121,2.2673638424876,180.112.180.161
true,1737062903.1701,elite,2176.3930125428,1710633947.4062,"AS4134 CHINANET-BACKBONE",CHINANET-BACKBONE,Nanjing,Asia,AS,China,CN,,false,Chinanet,32.0607,118.763,false,,true,Jiangsu,success,Asia/Shanghai,210000,1736900516,1737065547.6341,1080,http,http://221.231.13.198:1080,false,909.63697433472,239634,175453,57.731029880483,221.231.13.198
true,1737065547.3883,elite,3014.1264200211,1736907216.6311,"AS396356 Latitude.sh",LATITUDE-SH,"São Paulo","South America",SA,Brazil,BR,,false,Latitude.sh,-23.5335,-46.6359,false,Latitude.sh,false,"São Paulo",success,America/Sao_Paulo,01323,1736918912,1737065547.3883,10458,http,http://103.14.27.67:10458,false,1541.8231487274,2,979,0.20387359836901,103.14.27.67
true,1737065547.3462,transparent,6292.6029592693,1710579163.1906,"AS149316 PT Jaring Solusi Persada",IDNIC-JARINGDESA-AS-ID,Jakarta,Asia,AS,Indonesia,ID,,false,"PT Jaring Solusi Persada",-6.1767,106.8254,false,"PT Jaring Solusi Persada",true,Jakarta,success,Asia/Jakarta,10340,1736851324,1737065547.3462,8181,http,http://103.178.42.23:8181,false,3537.3883247375,21971,244329,8.2504693954187,103.178.42.23
true,1737065546.829,transparent,4598.1775148072,1736904772.4785,"AS271814 NEXTNET SAC","NEXTNET SAC",Lima,"South America",SA,Peru,PE,,false,"Nextnet SAC",-12.0432,-77.0282,false,"Nextnet S.A.C",false,"Lima Province",success,America/Lima,,1736904837,1737065546.829,999,http,http://38.43.150.76:999,false,2008.4955692291,274,2039,11.846087332469,38.43.150.76
true,1737065396.967,elite,6147.5396437348,1732418336.1773,"AS14061 DigitalOcean, LLC",DIGITALOCEAN-ASN,"North Bergen","North America",NA,"United States",US,,true,"DigitalOcean, LLC",40.7924,-74.0096,false,"DigitalOcean, LLC",true,"New Jersey",success,America/New_York,07047,1736652527,1737065546.5702,18104,http,http://159.89.239.166:18104,false,5228.942155838,5404,59170,8.3686932821259,159.89.239.166
true,1737065546.3914,anonymous,5841.3307212489,1710540135.2789,"AS262391 ACESSOLINE TELECOMUNICAÇÕES LTDA","ACESSOLINE TELECOMUNICAÇÕES LTDA","Agudos do Sul","South America",SA,Brazil,BR,,false,"Acessoline Telecom",-26.0431,-49.3145,false,"ACESSOLINE TELECOMUNICAÇÕES LTDA",true,Paraná,success,America/Sao_Paulo,83850,1736900704,1737065546.3914,27234,http,http://45.235.16.121:27234,false,3339.5388126373,40043,367352,9.8290357024509,45.235.16.121
true,1737065546.1308,elite,3884.7943989257,1697008078.3361,"AS131293 TOT Public Company Limited",TOT-LLI-AS-AP,Bangkok,Asia,AS,Thailand,TH,,false,"TOT Public Company Limited",13.751,100.4873,false,"TOT Public Company Limited",true,Bangkok,success,Asia/Bangkok,10700,1736957787,1737065546.1308,31225,socks4,socks4://1.179.172.45:31225,true,8277.4486541748,27808,278149,9.0888588919358,1.179.172.45
true,1737065545.945,transparent,6642.1931985118,1710605499.8947,"AS138734 Bakliwal Telecom Services Pvt Ltd",BTELECOM-AS-IN,Jaipur,Asia,AS,India,IN,,false,"Bakliwal Telecom Services Pvt Ltd",26.9525,75.7105,false,"Bakliwal Telecom Services Pvt Ltd",true,Rajasthan,success,Asia/Kolkata,302004,1736929342,1737065545.945,83,http,http://103.137.85.29:83,false,1326.3459205627,21307,370372,5.4399138069695,103.137.85.29
true,1737065512.064,transparent,5817.1286344003,1722220660.9245,"AS37284 Aljeel Aljadeed For Technology",Aljeel-net,Benghazi,Africa,AF,Libya,LY,,false,"Aljeel Aljadeed Technology",32.1159,20.0654,false,"organization:Digital Link Company",false,"Sha'biyat Banghazi",success,Africa/Tripoli,,1736901437,1737065545.5524,1981,http,http://165.16.5.53:1981,false,3062.7310276031,26354,164035,13.842186260761,165.16.5.53
true,1737065545.3275,elite,2856.1229744152,1696966175.6879,"AS9121 Turk Telekomunikasyon Anonim Sirketi",TTNet,Istanbul,Asia,AS,Türkiye,TR,,false,"Turk Telekomunikasyon A.S",41.0551,28.9347,false,TTnetTurkTelekom,true,Istanbul,success,Europe/Istanbul,34035,1736901452,1737065545.3275,5678,socks4,socks4://195.175.22.194:5678,true,3261.8656158447,16046,260380,5.8048085201826,195.175.22.194
true,1737065545.3004,transparent,6661.7121341882,1710563139.2609,"AS23969 TOT Public Company Limited",TOT-NET,Bangkok,Asia,AS,Thailand,TH,,false,"TOT Public Company Limited",13.7863,100.5056,false,"TOT Public Company Limited",true,Bangkok,success,Asia/Bangkok,10310,1736742986,1737065545.3004,8180,http,http://182.53.143.200:8180,false,4737.9393577576,24496,403752,5.7200500644486,182.53.143.200
true,1737065545.2318,elite,2629.788496915,1737063323.6349,"AS212317 Hetzner Online GmbH",HETZNER-CLOUD3-AS,Hillsboro,"North America",NA,"United States",US,,false,"Hetzner Online GmbH",45.526,-122.9874,false,HETZNER-DC,true,Oregon,success,America/Los_Angeles,97129,1737063331,1737065545.2318,60417,http,http://5.78.118.46:60417,false,4559.1101646423,17,15,53.125,5.78.118.46
true,1737065545.0524,elite,960.88575466125,1717683603.2885,"AS18403 FPT Telecom Company",FPT-AS-AP,Hanoi,Asia,AS,Vietnam,VN,,false,"Vietnam Internet Network Information Center",21.0184,105.8461,false,,true,Hanoi,success,Asia/Bangkok,100000,1737055827,1737065545.0524,31300,http,http://118.70.184.10:31300,false,622.71547317505,20575,281041,6.8215877141796,118.70.184.10
true,1737064145.4711,anonymous,2605.4061468448,1730745238.2361,"AS4230 CLARO S.A.","CLARO S.A.","São Paulo","South America",SA,Brazil,BR,,false,"Claro S.A",-23.5558,-46.6396,false,"Telcabos - Telecomunicações e Informática",true,"São Paulo",success,America/Sao_Paulo,01000-000,1736792955,1737065544.6943,80,http,http://189.22.234.39:80,false,3755.9492588043,45050,37611,54.499703608715,189.22.234.39
true,1737065544.612,elite,1360.1570655963,1736740231.4268,"AS51167 Contabo GmbH",CONTABO,Düsseldorf,Europe,EU,Germany,DE,,true,"Contabo GmbH",51.1878,6.8607,false,"Net1 GmbH",true,"North Rhine-Westphalia",success,Europe/Berlin,40599,1736740778,1737065544.612,7697,http,http://45.84.138.40:7697,false,422.12104797363,163,4245,3.6978221415608,45.84.138.40
true,1737065544.4835,elite,957.33471752745,1697030621.6387,"AS46562 Performive LLC",PERFORMIVE,"Beverly Hills","North America",NA,"United States",US,,true,"Performive LLC",34.0624,-118.384,false,"ZeroLag Communications",true,California,success,America/Los_Angeles,90211,1736629527,1737065544.4835,4145,socks4,socks4://142.54.226.214:4145,true,805.25183677673,128272,218701,36.968870776689,142.54.226.214
true,1737065544.3472,transparent,5703.2289761251,1730685381.5993,"AS58485 WIFIAN ID",WIFIAN-AS-ID,Cikarang,Asia,AS,Indonesia,ID,,false,"PT Yasmin Amanah Media",-6.26111,107.153,true,,true,"West Java",success,Asia/Jakarta,,1736513535,1737065544.3472,1111,http,http://103.247.20.106:1111,false,4793.2212352753,7369,64254,10.288594445918,103.247.20.106
true,1737065544.2972,transparent,4756.7325917372,1735348485.4564,"AS151993 PT Wifian Global Nusantara",IDNIC-WGN-AS-ID,Karawang,Asia,AS,Indonesia,ID,,false,"PT Wifian Global Nusantara",-6.27868,107.429,true,"PT Wifian Global Nusantara",false,"West Java",success,Asia/Jakarta,,1736901825,1737065544.2972,8080,http,http://203.111.253.134:8080,false,5227.8978824615,1111,11885,8.548784241305,203.111.253.134
true,1737065543.662,elite,614.66357657699,1729931543.2831,"AS38136 Akari Networks",AKARI-NETWORKS-AS-AP,"Hong Kong",Asia,AS,"Hong Kong",HK,,false,"Akari Networks",22.3193,114.169,false,"Akari Networks Limited",true,Kowloon,success,Asia/Hong_Kong,999077,1736584798,1737065543.662,80,http,http://188.253.112.218:80,false,557.10864067078,29117,74050,28.223172138378,188.253.112.218
true,1737065274.9881,elite,92.825099065328,1710634114.8706,"AS16276 OVH SAS",OVH,Dublin,Europe,EU,Ireland,IE,"Saint Peter's",true,"OVH SAS",53.3341,-6.25148,false,"OVH Hosting Limited",true,Leinster,success,Europe/Dublin,D02,1736770755,1737065543.5883,80,http,http://51.254.78.223:80,false,55.521011352539,206713,223036,48.100868181194,51.254.78.223
true,1737065248.8736,transparent,8098.8814639155,1734050394.9465,"AS23470 ReliableSite.Net LLC",RELIABLESITE,Miami,"North America",NA,"United States",US,,true,"ReliableSite.Net LLC",25.8119,-80.2318,false,"Bayu Prasetyo",true,Florida,success,America/New_York,33142,1736469744,1737065543.5442,3128,http,http://104.243.46.122:3128,false,6378.9596557617,3857,37476,9.3315268671522,104.243.46.122
true,1737065543.5048,transparent,7847.4751870578,1710715631.2812,"AS52361 ARSAT - Empresa Argentina de Soluciones Satelitales S.A.",ARSAT,Benavídez,"South America",SA,Argentina,AR,,false,"ARSAT - Empresa Argentina de Soluciones Satelitales S.A",-34.4152,-58.6868,false,"Hector Omar Romano",true,"Buenos Aires",success,America/Argentina/Buenos_Aires,1621,1736895792,1737065543.5048,999,http,http://181.209.125.123:999,false,5812.5016689301,15023,398210,3.6354792574649,181.209.125.123
true,1737065543.4801,transparent,5658.5730111765,1735411558.8619,"AS262186 TV AZTECA SUCURSAL COLOMBIA","TV AZTECA SUCURSAL COLOMBIA",Bogotá,"South America",SA,Colombia,CO,"La Gran Via",false,"TV AZTECA SUCURSAL COLOMBIA",4.68082,-74.0419,false,"TV AZTECA SUCURSAL COLOMBIA",false,"Bogota D.C.",success,America/Bogota,110221,1736622127,1737065543.4801,999,http,http://186.96.109.210:999,false,4568.662405014,2297,22171,9.387771783554,186.96.109.210
true,1737065459.622,elite,2732.9050627622,1736695455.5267,"AS36666 GloboTech Communications",GTCOMM,Montreal,"North America",NA,Canada,CA,Ville-Marie,true,"GloboTech Communications",45.5049,-73.573,false,,true,Quebec,success,America/Toronto,H4X,1736695829,1737065543.0911,8671,http,http://67.43.227.226:8671,false,3890.0117874146,22,2179,0.99954566106315,67.43.227.226
true,1737065542.9791,transparent,10036.179426401,1710579430.0668,"AS43350 NForce Entertainment B.V.",NFORCE,Amsterdam,Europe,EU,"The Netherlands",NL,,true,"SYN LTD",52.3759,4.8975,false,,true,"North Holland",success,Europe/Amsterdam,1012,1736490235,1737065542.9791,3128,http,http://185.53.129.141:3128,false,8025.9673595428,18031,323395,5.2810857989725,185.53.129.141
true,1737065542.8658,elite,9320.1307137807,1736621813.6034,"AS749 DoD Network Information Center",DNIC-AS-00749,Whitehall,"North America",NA,"United States",US,,false,"DoD Network Information Center",39.9747,-82.8947,false,"DoD Network Information Center",false,Ohio,success,America/New_York,43218,1736666072,1737065542.8658,80,socks4,socks4://26.91.85.64:80,true,10869.869947433,15,3013,0.49537648612946,26.91.85.64
true,1737065542.8427,elite,936.18021136623,1725450319.9288,"AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP",GCS-AS,Mazovia,Europe,EU,Poland,PL,,false,"Global Connectivity Solutions LLP",52.3672,21.0995,false,"Global Internet Solutions LLC",true,Mazovia,success,Europe/Warsaw,05-270,1736942875,1737065542.8427,80,http,http://77.83.246.25:80,false,67.927837371826,59010,111229,34.663032560107,77.83.246.25
true,1737065357.9663,transparent,5698.2365846443,1732971722.3867,"AS140457 PT Ikhlas Cipta Teknologi",IMEDIANET-AS-ID,Bekasi,Asia,AS,Indonesia,ID,,false,"PT Ikhlas Cipta Teknologi",-6.2349,106.9923,false,"PT Ikhlas Cipta Teknologi",true,"West Java",success,Asia/Jakarta,17530,1736601268,1737065542.7408,8080,http,http://38.183.146.31:8080,false,2030.4799079895,6241,51962,10.722814975173,38.183.146.31
true,1737065542.4814,transparent,7924.1810919075,1736844025.6984,"AS396982 Google LLC",GOOGLE-CLOUD-PLATFORM,"Council Bluffs","North America",NA,"United States",US,,true,"Google LLC",41.2619,-95.8608,false,"Google Cloud (us-central1)",false,Iowa,success,America/Chicago,,1736844036,1737065542.4814,3128,http,http://34.29.147.84:3128,false,2536.1340045929,293,2686,9.8355152735817,34.29.147.84
true,1737065542.4538,transparent,9036.1121852797,1710560467.46,"AS4230 CLARO S.A.","CLARO S.A.",Contagem,"South America",SA,Brazil,BR,,false,"Claro S.A",-19.8828,-44.0801,false,"Fundação Libertas de Seguridade Social",true,"Minas Gerais",success,America/Sao_Paulo,32000,1736740213,1737065542.4538,8002,http,http://200.251.41.61:8002,false,7452.116727829,32856,372094,8.1135942708976,200.251.41.61
true,1737065542.3529,transparent,8504.5557087476,1727625679.804,"AS271967 TURBONET S.A.","TURBONET S.A.",Vinces,"South America",SA,Ecuador,EC,,false,"Turbonet S.A.",-1.5551,-79.7535,false,"Turbonet S.A",true,"Los Ríos",success,America/Guayaquil,,1736700689,1737065542.3529,999,http,http://38.159.229.73:999,false,5071.7496871948,18237,119619,13.229021587744,38.159.229.73
true,1737065394.5834,elite,1463.6250607852,1710699736.6903,"AS17621 China Unicom Shanghai network",CNCGROUP-SH,Shanghai,Asia,AS,China,CN,,false,"China Unicom CncNet",31.2304,121.474,false,,true,Shanghai,success,Asia/Shanghai,200000,1736770450,1737065541.8532,9002,http,http://220.248.70.237:9002,false,959.76996421814,384151,45802,89.347207718053,220.248.70.237
true,1737065456.6393,transparent,3534.4844397017,1736269150.5971,"AS133360 PT Awinet Global Mandiri",IDNIC-AWINET-AS-ID,Pandeglang,Asia,AS,Indonesia,ID,,false,"PT Awinet Global Mandiri",-6.3094,106.1106,false,,false,Banten,success,Asia/Jakarta,42262,1736874940,1737065541.7933,8080,http,http://103.36.8.37:8080,false,455.30247688293,1249,10375,10.745010323469,103.36.8.37
true,1737065480.7749,transparent,5702.1016570036,1730984579.8037,"AS138089 PT.Global Media Data Prima",GMDP-AS-ID,Tamanan,Asia,AS,Indonesia,ID,,false,"Global Media Data Prima",-8.0722,111.903,false,,true,"East Java",success,Asia/Jakarta,,1736903089,1737065541.7424,8080,http,http://103.124.137.99:8080,false,6989.7475242615,4319,34894,11.014204473006,103.124.137.99
true,1737065534.3517,elite,3254.7679556657,1719219723.9985,"AS36666 GloboTech Communications",GTCOMM,Montreal,"North America",NA,Canada,CA,Ville-Marie,true,"GloboTech Communications",45.5049,-73.573,false,,true,Quebec,success,America/Toronto,H4X,1736901605,1737065541.4786,24235,http,http://67.43.228.253:24235,false,1908.4649085999,634,86558,0.72713092944307,67.43.228.253
true,1737065541.36,transparent,9824.6370995533,1733813794.1786,"AS133360 PT Awinet Global Mandiri",IDNIC-AWINET-AS-ID,Pandeglang,Asia,AS,Indonesia,ID,,false,"PT Awinet Global Mandiri",-6.3094,106.1106,false,,false,Banten,success,Asia/Jakarta,42262,1736838074,1737065541.36,3125,http,http://103.36.8.13:3125,false,8945.4410076141,953,41022,2.2703990470518,103.36.8.13
true,1737065541.2464,transparent,6281.5518363949,1728998830.7295,"AS265684 INFINITUM S.A.","INFINITUM S.A.","Guatemala City","North America",NA,Guatemala,GT,,false,"Infinitum S.A.",14.6419,-90.5133,false,"Inversiones Grajeda Andrade S.A",true,Guatemala,success,America/Guatemala,01014,1736861988,1737065541.2464,999,http,http://45.5.118.138:999,false,2500.1177787781,13436,103579,11.482288595479,45.5.118.138
true,1737065541.2146,transparent,8074.4216922952,1736156513.4174,"AS20473 The Constant Company, LLC",AS-VULTR,Amsterdam,Europe,EU,"The Netherlands",NL,,true,"The Constant Company, LLC",52.3891,4.6563,false,"Vultr Holdings LLC Amsterdam",false,"North Holland",success,Europe/Amsterdam,2031,1736797226,1737065541.2146,6969,http,http://78.141.220.53:6969,false,7829.1141986847,833,11205,6.9197541119787,78.141.220.53
true,1737065541.1816,transparent,10568.652984703,1721820113.0063,"AS24534 PT. Transhybrid Communication",TRANSHYBRID-AS-ID,Sambas,Asia,AS,Indonesia,ID,,false,"PT. Transhybrid Communication",1.33333,109.25,false,,true,"West Kalimantan",success,Asia/Pontianak,,1736490214,1737065541.1816,3125,http,http://58.147.186.227:3125,false,8478.492975235,1202,146544,0.81355840428844,58.147.186.227
true,1737065435.5393,transparent,5969.5566042382,1732825866.7833,"AS38901 EZECOM CO., LTD.",EZECOM-AS-AP,"Phnom Penh",Asia,AS,Cambodia,KH,,false,"EZECOM CO., LTD.",11.5583,104.9121,false,"EZECOM limited",true,"Phnom Penh",success,Asia/Phnom_Penh,,1737060489,1737065540.8589,8080,http,http://110.74.195.142:8080,false,5761.00730896,7609,52948,12.565021384811,110.74.195.142
true,1737059298.8366,elite,323.40771831414,1722396711.3663,"AS19084 ColoUp",COLOUP,Buffalo,"North America",NA,"United States",US,,true,ColoUp,42.8867,-78.8927,false,ColoUp,true,"New York",success,America/New_York,14202,1736913472,1737065540.8433,80,http,http://162.223.90.130:80,false,261.5795135498,214593,8811,96.056024064027,162.223.90.130
true,1737065540.7901,transparent,5889.0872737356,1732694068.4412,"AS45305 Lintas Data Prima, PT",LDP-AS-ID,Madiun,Asia,AS,Indonesia,ID,,false,"Lintas Data Prima, PT",-7.6302,111.5266,false,"PT Ganera Infinity Network",true,"East Java",success,Asia/Jakarta,63171,1736901830,1737065540.7901,8087,http,http://202.47.188.76:8087,false,7759.868144989,3300,25286,11.544112502624,202.47.188.76
